,All Predictors,Rm Temperature,Rm Pressure,Rm Humidity,Rm Astronomical Twilight Index,Rm Destination,Rm Interstate Indicator,Rm Median Income,Rm Percent Age 15-19,Rm Percent Age 20-24,Rm Percent Age 65 Over,Rm Precipitation,Rm Rain,Rm Rush Hour,Rm SeasonVec,Rm Sex Ratio,Rm Snow,Rm Traffic Interference,Rm Traffic Intersection,Rm Urban Ratio,Rm Visibility,Rm Weekday,Rm Wind Speed,
Overall Accuracy,0.386145369,0.384011194,0.383816273,0.384935292,0.393592925,0.389141038,0.314711716,0.384751753,0.388694284,0.387100767,0.387974356,0.385308772,0.388040515,0.3863659,0.321410177,0.385707151,0.385047692,0.384386098,0.384956634,0.36297464,0.38781785,0.389959849,0.386182361,
Precision,0.767763021,0.766297811,0.768347179,0.768158611,0.767150409,0.767317474,0.742559465,0.768150533,0.767119983,0.767560388,0.767812184,0.768120417,0.767518888,0.768508214,0.742133356,0.768143263,0.76816393,0.768091789,0.767661747,0.769773022,0.768070081,0.767590991,0.766991553,
Recall,0.386145369,0.384011194,0.383816273,0.384935292,0.393592925,0.389141038,0.314711716,0.384751753,0.388694284,0.387100767,0.387974356,0.385308772,0.388040515,0.3863659,0.321410177,0.385707151,0.385047692,0.384386098,0.384956634,0.36297464,0.38781785,0.389959849,0.386182361,
F1 Score,0.47677826,0.476518726,0.475996539,0.476182858,0.485694276,0.480618583,0.391718072,0.475455446,0.479837929,0.478189235,0.479081948,0.476184427,0.478953489,0.477575006,0.40097776,0.476305723,0.475760024,0.475053437,0.478281082,0.45496873,0.478683258,0.482060645,0.47810627,
Sev Index 0 Accuracy,0.358542474,0.359100124,0.357428058,0.357616298,0.370116143,0.363381922,0.277558606,0.356843895,0.362515841,0.360314405,0.361518081,0.357780676,0.361239698,0.359120451,0.275848538,0.357715279,0.357171769,0.35640025,0.360785447,0.332795126,0.360738608,0.365198041,0.360488505,
Sev Index 1 Accuracy,0.49543779,0.48032949,0.486690413,0.492749702,0.486916638,0.49021243,0.455098719,0.494914367,0.492124255,0.492745266,0.493024721,0.494040517,0.494355458,0.495881369,0.508594343,0.497061289,0.495597479,0.494914367,0.478067238,0.488291733,0.495584171,0.487861461,0.485506057,
Sev Index 3 Accuracy,0.774950023,0.786713824,0.792864832,0.778179302,0.779793941,0.779255728,0.743118561,0.776564662,0.779486391,0.779640166,0.780255267,0.778102414,0.777102876,0.784714747,0.667230509,0.779178841,0.777871751,0.777333538,0.783945871,0.783715208,0.779101953,0.77025988,0.7769491,
Sev Index 2 Accuracy,0.42920738,0.418624185,0.421535963,0.42671557,0.407677017,0.425203685,0.449645827,0.430887253,0.422907859,0.425959627,0.420220063,0.428087465,0.424391746,0.413220595,0.457429235,0.426379595,0.427359521,0.430271299,0.417728253,0.374891508,0.42301985,0.418008231,0.430971246,
Diff Overall Accuracy,0,0.002134174,0.002329095,0.001210077,0.007447556,0.002995669,0.071433653,0.001393616,0.002548915,0.000955399,0.001828987,0.000836596,0.001895147,0.000220531,0.064735192,0.000438217,0.001097677,0.001759271,0.001188735,0.023170728,0.001672481,0.003814481,3.69924E-05,0.071433653
Diff Precision,0,0.00146521,0.000584157,0.000395589,0.000612612,0.000445547,0.025203557,0.000387511,0.000643038,0.000202633,4.91624E-05,0.000357396,0.000244133,0.000745193,0.025629666,0.000380242,0.000400909,0.000328768,0.000101274,0.00201,0.00030706,0.000172031,0.000771469,0.025629666
Diff Recall,0,0.002134174,0.002329095,0.001210077,0.007447556,0.002995669,0.071433653,0.001393616,0.002548915,0.000955399,0.001828987,0.000836596,0.001895147,0.000220531,0.064735192,0.000438217,0.001097677,0.001759271,0.001188735,0.023170728,0.001672481,0.003814481,3.69924E-05,0.071433653
Diff F1 Score,0,0.000259533,0.00078172,0.000595401,0.008916017,0.003840323,0.085060188,0.001322814,0.003059669,0.001410975,0.002303689,0.000593832,0.002175229,0.000796746,0.075800499,0.000472536,0.001018236,0.001724823,0.001502822,0.02180953,0.001904999,0.005282385,0.001328011,0.085060188
Diff Sev Index 0 Accuracy,0,0.00055765,0.001114416,0.000926176,0.011573669,0.004839448,0.080983868,0.001698579,0.003973367,0.001771931,0.002975607,0.000761798,0.002697223,0.000577976,0.082693936,0.000827196,0.001370706,0.002142225,0.002242973,0.025747348,0.002196134,0.006655567,0.001946031,0.082693936
Diff Sev Index 1 Accuracy,0,0.0151083,0.008747377,0.002688089,0.008521152,0.00522536,0.040339072,0.000523423,0.003313535,0.002692524,0.00241307,0.001397274,0.001082333,0.000443579,0.013156552,0.001623499,0.000159688,0.000523423,0.017370553,0.007146057,0.000146381,0.007576329,0.009931733,0.040339072
Diff Sev Index 2 Accuracy,0,0.011763801,0.017914809,0.003229279,0.004843918,0.004305705,0.031831462,0.001614639,0.004536368,0.004690143,0.005305244,0.003152391,0.002152853,0.009764724,0.107719514,0.004228817,0.002921728,0.002383515,0.008995848,0.008765185,0.00415193,0.004690143,0.001999077,0.107719514
Diff Sev Index 3 Accuracy,0,0.010583196,0.007671417,0.002491811,0.021530364,0.004003696,0.020438447,0.001679872,0.006299521,0.003247753,0.008987317,0.001119915,0.004815634,0.015986785,0.028221855,0.002827785,0.00184786,0.001063919,0.011479128,0.054315872,0.00618753,0.011199149,0.001763866,0.054315872
