zip_code,Estimate!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females),Percent!!SEX AND AGE!!Total population!!15 to 19 years,Percent!!SEX AND AGE!!Total population!!20 to 24 years,Percent!!SEX AND AGE!!Total population!!65 years and over
00601,99.5,6.6,6.7,18.2
00602,96.0,6.3,6.8,18.2
00603,96.5,6.6,6.5,21.1
00606,100.3,6.4,7.4,19.9
00610,93.9,6.4,6.9,20.0
00612,89.3,6.6,6.5,21.6
00616,85.0,6.3,8.5,20.5
00617,90.1,6.9,6.4,19.0
00622,71.9,5.3,5.0,31.1
00623,93.2,6.6,6.8,21.1
00624,95.4,7.1,6.6,16.1
00627,91.6,6.6,7.1,19.2
00631,98.5,3.4,5.9,30.6
00637,88.3,7.4,6.9,22.0
00638,92.9,5.9,6.2,20.3
00641,94.5,6.7,6.6,20.8
00646,90.5,7.2,6.6,16.8
00647,101.8,5.7,8.2,25.5
00650,92.9,7.4,7.5,18.1
00652,92.2,6.6,6.9,22.5
00653,88.5,6.5,7.8,21.8
00656,91.0,6.8,6.5,20.0
00659,92.3,6.4,6.5,19.5
00660,85.3,6.3,6.0,27.0
00662,94.0,6.5,6.7,19.6
00664,97.8,6.5,7.8,16.0
00667,95.6,6.5,8.0,23.9
00669,96.5,6.6,6.4,19.6
00670,99.9,7.1,6.9,19.7
00674,89.6,6.8,6.8,20.5
00676,95.0,7.2,7.0,16.8
00677,93.5,5.9,5.5,23.9
00678,92.3,6.8,6.3,18.9
00680,92.3,7.5,9.9,24.8
00682,89.2,8.8,12.6,20.6
00683,93.9,6.9,7.5,23.9
00685,95.5,6.3,6.2,22.7
00687,98.4,7.2,7.4,15.3
00688,108.7,6.9,7.8,18.1
00690,75.5,8.9,8.2,19.0
00692,91.8,7.0,6.8,17.2
00693,91.9,6.6,6.9,19.7
00694,128.6,0.0,0.0,100.0
00698,91.8,6.2,6.2,21.2
00703,93.4,6.9,6.3,18.9
00704,100.1,6.9,8.6,13.7
00705,91.5,6.2,6.6,19.8
00707,94.1,6.6,5.7,21.6
00714,87.6,7.0,6.5,18.8
00715,96.2,4.4,9.9,23.0
00716,83.2,6.2,6.6,24.6
00717,75.6,8.4,7.0,23.6
00718,88.8,7.1,6.9,17.5
00719,95.9,6.7,6.8,18.6
00720,99.6,7.1,7.6,16.0
00723,95.3,6.0,6.6,21.0
00725,84.4,6.7,6.6,20.9
00727,91.2,6.4,7.4,17.3
00728,102.5,6.3,8.2,18.8
00729,91.6,6.7,7.1,16.5
00730,95.3,6.4,7.7,21.2
00731,99.9,6.8,6.6,16.9
00735,88.0,5.7,7.7,22.4
00736,93.1,6.5,6.7,20.3
00738,87.6,6.6,7.3,22.0
00739,92.4,7.1,7.0,16.2
00740,83.1,6.7,7.3,13.2
00741,83.0,8.2,4.5,17.6
00745,92.9,6.7,7.1,19.2
00751,90.8,7.8,6.3,20.8
00754,94.7,6.6,6.8,18.2
00757,93.2,7.6,7.4,15.8
00765,97.3,3.8,6.7,21.4
00766,94.6,7.7,7.5,17.0
00767,93.7,6.6,6.8,19.8
00769,94.2,6.2,5.8,17.1
00771,92.2,6.5,6.4,17.5
00772,88.3,7.0,7.1,17.4
00773,88.3,7.0,7.1,20.9
00775,103.3,4.2,5.7,22.9
00777,90.5,7.2,7.5,15.4
00778,89.9,6.9,6.8,15.3
00780,88.4,8.1,5.5,18.5
00782,99.7,6.6,7.5,17.6
00783,94.5,6.6,7.2,17.3
00784,96.8,7.2,7.5,17.6
00786,150.0,0.0,0.0,29.7
00791,89.8,6.5,6.6,21.4
00794,97.0,7.3,7.9,15.1
00795,90.2,6.7,7.1,17.4
00901,122.4,2.2,7.3,22.0
00906,130.1,0.0,0.0,3.1
00907,95.0,4.6,3.4,25.6
00909,97.1,3.7,7.2,20.3
00911,94.6,4.9,6.9,22.7
00912,75.2,7.0,9.2,24.2
00913,73.1,8.7,7.6,10.1
00915,89.3,6.7,7.8,18.3
00917,87.9,5.8,6.3,25.2
00918,78.8,5.7,6.8,24.8
00920,85.8,4.7,5.8,24.9
00921,79.0,5.3,7.5,19.4
00923,90.5,8.3,6.6,19.8
00924,77.8,7.7,6.7,21.0
00925,96.9,10.0,19.8,17.1
00926,83.6,6.3,6.8,22.4
00927,90.8,7.0,7.5,23.0
00934,179.5,19.3,0.0,0.0
00936,40.5,0.0,11.8,48.9
00949,88.9,6.9,6.9,18.8
00950,-,-,-,-
00951,-,-,-,-
00952,79.1,5.6,6.2,20.5
00953,92.5,7.5,7.4,13.4
00956,88.0,6.0,6.5,21.9
00957,82.9,6.4,7.2,21.6
00959,84.4,6.5,7.3,19.9
00960,3514.8,2.5,15.5,4.4
