zip_code,DP05_0004E,DP05_0008PE,DP05_0009PE,DP05_0024PE
00601,Estimate!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females),Percent!!SEX AND AGE!!Total population!!15 to 19 years,Percent!!SEX AND AGE!!Total population!!20 to 24 years,Percent!!SEX AND AGE!!Total population!!65 years and over
00602,99.5,6.6,6.7,18.2
00603,96.0,6.3,6.8,18.2
00606,96.5,6.6,6.5,21.1
00610,100.3,6.4,7.4,19.9
00612,93.9,6.4,6.9,20.0
00616,89.3,6.6,6.5,21.6
00617,85.0,6.3,8.5,20.5
00622,90.1,6.9,6.4,19.0
00623,71.9,5.3,5.0,31.1
00624,93.2,6.6,6.8,21.1
00627,95.4,7.1,6.6,16.1
00631,91.6,6.6,7.1,19.2
00637,98.5,3.4,5.9,30.6
00638,88.3,7.4,6.9,22.0
00641,92.9,5.9,6.2,20.3
00646,94.5,6.7,6.6,20.8
00647,90.5,7.2,6.6,16.8
00650,101.8,5.7,8.2,25.5
00652,92.9,7.4,7.5,18.1
00653,92.2,6.6,6.9,22.5
00656,88.5,6.5,7.8,21.8
00659,91.0,6.8,6.5,20.0
00660,92.3,6.4,6.5,19.5
00662,85.3,6.3,6.0,27.0
00664,94.0,6.5,6.7,19.6
00667,97.8,6.5,7.8,16.0
00669,95.6,6.5,8.0,23.9
00670,96.5,6.6,6.4,19.6
00674,99.9,7.1,6.9,19.7
00676,89.6,6.8,6.8,20.5
00677,95.0,7.2,7.0,16.8
00678,93.5,5.9,5.5,23.9
00680,92.3,6.8,6.3,18.9
00682,92.3,7.5,9.9,24.8
00683,89.2,8.8,12.6,20.6
00685,93.9,6.9,7.5,23.9
00687,95.5,6.3,6.2,22.7
00688,98.4,7.2,7.4,15.3
00690,108.7,6.9,7.8,18.1
00692,75.5,8.9,8.2,19.0
00693,91.8,7.0,6.8,17.2
00694,91.9,6.6,6.9,19.7
00698,128.6,0.0,0.0,100.0
00703,91.8,6.2,6.2,21.2
00704,93.4,6.9,6.3,18.9
00705,100.1,6.9,8.6,13.7
00707,91.5,6.2,6.6,19.8
00714,94.1,6.6,5.7,21.6
00715,87.6,7.0,6.5,18.8
00716,96.2,4.4,9.9,23.0
00717,83.2,6.2,6.6,24.6
00718,75.6,8.4,7.0,23.6
00719,88.8,7.1,6.9,17.5
00720,95.9,6.7,6.8,18.6
00723,99.6,7.1,7.6,16.0
00725,95.3,6.0,6.6,21.0
00727,84.4,6.7,6.6,20.9
00728,91.2,6.4,7.4,17.3
00729,102.5,6.3,8.2,18.8
00730,91.6,6.7,7.1,16.5
00731,95.3,6.4,7.7,21.2
00735,99.9,6.8,6.6,16.9
00736,88.0,5.7,7.7,22.4
00738,93.1,6.5,6.7,20.3
00739,87.6,6.6,7.3,22.0
00740,92.4,7.1,7.0,16.2
00741,83.1,6.7,7.3,13.2
00745,83.0,8.2,4.5,17.6
00751,92.9,6.7,7.1,19.2
00754,90.8,7.8,6.3,20.8
00757,94.7,6.6,6.8,18.2
00765,93.2,7.6,7.4,15.8
00766,97.3,3.8,6.7,21.4
00767,94.6,7.7,7.5,17.0
00769,93.7,6.6,6.8,19.8
00771,94.2,6.2,5.8,17.1
00772,92.2,6.5,6.4,17.5
00773,88.3,7.0,7.1,17.4
00775,88.3,7.0,7.1,20.9
00777,103.3,4.2,5.7,22.9
00778,90.5,7.2,7.5,15.4
00780,89.9,6.9,6.8,15.3
00782,88.4,8.1,5.5,18.5
00783,99.7,6.6,7.5,17.6
00784,94.5,6.6,7.2,17.3
00786,96.8,7.2,7.5,17.6
00791,150.0,0.0,0.0,29.7
00794,89.8,6.5,6.6,21.4
00795,97.0,7.3,7.9,15.1
00901,90.2,6.7,7.1,17.4
00906,122.4,2.2,7.3,22.0
00907,130.1,0.0,0.0,3.1
00909,95.0,4.6,3.4,25.6
00911,97.1,3.7,7.2,20.3
00912,94.6,4.9,6.9,22.7
00913,75.2,7.0,9.2,24.2
00915,73.1,8.7,7.6,10.1
00917,89.3,6.7,7.8,18.3
00918,87.9,5.8,6.3,25.2
00920,78.8,5.7,6.8,24.8
00921,85.8,4.7,5.8,24.9
00923,79.0,5.3,7.5,19.4
00924,90.5,8.3,6.6,19.8
00925,77.8,7.7,6.7,21.0
00926,96.9,10.0,19.8,17.1
00927,83.6,6.3,6.8,22.4
00934,90.8,7.0,7.5,23.0
00936,179.5,19.3,0.0,0.0
00949,40.5,0.0,11.8,48.9
00950,88.9,6.9,6.9,18.8
00951,-,-,-,-
00952,-,-,-,-
00953,79.1,5.6,6.2,20.5
00956,92.5,7.5,7.4,13.4
00957,88.0,6.0,6.5,21.9
00959,82.9,6.4,7.2,21.6
00960,84.4,6.5,7.3,19.9
00961,3514.8,2.5,15.5,4.4
00962,93.2,7.1,7.3,21.4
00965,89.0,6.9,7.1,17.7
00966,93.1,5.9,5.8,24.7
00968,93.1,5.9,5.8,24.7
00969,72.7,1.7,0.0,33.6
00971,80.1,5.6,7.3,19.9
00976,101.1,6.1,6.2,20.8
00979,86.5,7.0,6.4,19.5
00982,91.6,4.5,6.2,24.1
00983,81.0,5.4,6.0,24.0
00985,81.4,6.5,8.7,21.9
00987,82.4,7.3,6.4,24.0
01001,87.3,6.9,6.7,18.0
01002,91.7,3.1,4.0,23.5
01003,92.9,13.8,29.2,13.4
01005,105.8,52.9,46.2,0.0
01007,87.2,8.3,7.0,15.5
01008,102.9,6.3,8.4,14.8
01009,106.1,5.3,4.9,25.0
01010,107.1,4.6,16.9,13.4
01011,98.9,6.6,4.5,20.1
01012,101.4,5.5,5.2,19.4
01013,101.0,0.7,3.1,25.3
01020,88.3,7.4,8.6,14.7
01022,96.6,5.0,5.5,20.8
01026,112.0,13.7,10.1,21.5
01027,89.2,4.1,4.9,24.4
01028,96.0,5.6,3.9,19.0
01029,84.8,6.1,5.4,21.7
01030,125.1,1.5,3.3,19.3
01031,100.9,8.2,4.5,18.2
01032,98.4,6.8,4.2,18.1
01033,70.1,3.6,3.4,17.0
01034,103.9,5.6,5.5,18.7
01035,97.1,5.9,4.9,19.3
01036,78.5,4.8,4.4,23.7
01037,99.5,6.0,4.4,24.9
01038,108.7,9.9,5.0,17.1
01039,92.7,6.8,3.9,23.6
01040,85.1,3.6,1.6,20.5
01050,94.0,6.4,7.4,14.2
01053,102.3,3.6,5.3,17.4
01054,130.9,5.8,3.1,28.0
01056,101.7,5.1,3.8,25.9
01057,105.2,6.0,4.5,18.7
01060,97.7,7.1,6.3,18.7
01062,63.1,10.1,13.8,15.8
01063,89.0,5.9,3.4,20.8
01066,2.3,39.6,60.4,0.0
01068,-,0.0,0.0,100.0
01069,93.8,7.9,6.7,16.5
01070,90.6,5.3,6.7,18.8
01071,112.5,6.3,4.8,29.3
01072,93.3,7.4,7.7,16.9
01073,87.1,6.6,5.1,18.7
01074,104.8,7.2,6.7,19.5
01075,59.3,7.1,23.1,6.1
01077,64.2,10.7,12.3,19.3
01079,101.9,5.3,4.5,21.7
01080,92.8,10.0,0.0,13.3
01081,89.7,13.6,8.3,9.8
01082,98.4,5.6,4.9,16.7
01083,96.0,3.7,4.8,20.5
01084,80.9,5.5,5.8,12.5
01085,97.6,6.5,4.8,32.1
01086,92.7,9.0,9.8,17.5
01088,102.8,79.9,20.1,0.0
01089,88.5,1.8,14.1,9.2
01092,95.3,6.4,6.2,15.9
01093,62.6,7.4,9.7,10.6
01094,104.6,11.8,8.6,29.7
01095,86.1,0.0,4.7,42.1
01096,85.5,7.4,4.7,21.4
01097,103.8,6.8,5.9,21.6
01098,64.7,12.5,0.0,5.4
01103,87.4,3.8,7.3,24.9
01104,80.4,3.1,4.8,10.7
01105,85.9,7.0,8.4,14.3
01106,99.9,6.1,7.2,11.3
01107,91.7,6.6,4.1,20.7
01108,94.7,8.1,10.3,9.9
01109,90.1,7.1,8.6,10.4
01118,91.7,11.6,14.9,10.3
01119,101.8,4.1,5.8,15.7
01128,87.4,10.5,9.0,15.1
01129,109.7,2.5,4.8,25.0
01151,91.3,5.7,6.4,18.0
01199,86.7,5.1,7.9,11.3
01201,-,-,-,-
01220,90.1,4.7,6.1,20.4
01222,105.3,4.9,4.9,19.5
01223,78.1,3.7,7.6,21.8
01224,105.1,4.5,2.3,23.7
01225,92.3,8.8,0.0,0.0
01226,112.7,5.5,3.7,22.2
01229,91.1,5.5,4.2,21.7
01230,152.8,0.0,0.0,42.9
01235,88.4,9.5,4.5,25.1
01236,102.3,5.3,4.5,20.4
01237,92.5,4.4,10.6,21.4
01238,102.6,3.5,4.5,25.4
01240,87.5,6.0,3.6,25.9
01242,88.4,6.2,6.1,41.8
01243,56.0,3.6,0.0,13.8
01244,76.3,3.4,1.5,25.0
01245,175.0,0.0,0.0,43.2
01247,92.6,6.6,2.3,33.1
01253,102.1,7.0,9.8,19.5
01254,97.7,4.6,0.0,36.5
01255,93.1,3.7,0.4,36.7
01256,109.6,5.9,3.3,25.9
01257,123.0,2.8,5.6,20.7
01258,111.9,7.2,7.6,30.8
01259,125.9,8.2,2.9,22.1
01260,94.2,3.0,4.4,34.1
01262,53.6,4.9,16.6,16.2
01264,73.3,2.6,6.3,39.6
01266,70.2,2.9,11.7,31.6
01267,101.7,3.6,3.8,29.8
01270,83.5,18.3,19.5,19.9
01301,102.0,4.4,6.3,21.4
01330,99.2,4.5,5.1,21.2
01331,98.4,5.6,4.9,24.8
01337,87.2,5.6,6.3,16.7
01338,109.1,5.9,3.0,21.7
01339,130.6,0.0,0.0,30.1
01340,88.8,5.1,5.0,28.4
01341,96.8,2.7,7.6,25.3
01342,106.1,5.9,3.5,23.8
01343,87.1,10.9,16.9,18.9
01344,95.0,0.0,0.0,15.4
01346,83.8,5.4,4.5,19.3
01347,74.4,5.1,10.2,32.1
01349,22.2,5.2,28.6,18.2
01350,90.8,7.0,9.3,15.0
01351,102.3,2.3,2.3,20.7
01354,87.1,3.5,3.2,20.1
01355,149.0,6.8,4.1,19.5
01360,117.5,7.6,2.0,23.5
01364,95.1,6.7,3.4,19.8
01366,86.5,5.8,5.4,18.3
01367,90.7,7.1,6.3,25.4
01368,86.8,10.3,4.1,21.4
01370,108.6,5.4,1.5,22.6
01373,88.8,4.6,3.9,25.0
01375,93.4,6.0,2.7,21.0
01376,91.2,2.2,12.0,15.7
01378,86.7,3.7,5.1,22.2
01379,100.5,2.8,5.6,19.7
01420,102.7,3.7,1.6,22.2
01430,99.7,7.0,9.3,13.5
01431,96.8,7.4,3.8,13.2
01432,108.5,7.0,3.9,15.7
01434,98.2,1.9,6.2,14.9
01436,443.9,3.3,3.4,13.0
01438,108.4,4.5,7.7,18.2
01440,116.2,16.3,0.1,0.0
01450,106.6,4.4,5.8,15.4
01451,96.9,9.0,5.1,14.9
01452,105.9,6.5,2.9,17.4
01453,98.1,5.6,8.3,18.6
01460,90.8,5.5,5.5,15.9
01462,96.7,8.1,3.3,15.4
01463,91.9,8.0,3.7,16.9
01464,97.7,6.5,5.9,15.5
01467,164.9,2.7,8.6,13.9
01468,54.2,5.4,0.0,37.7
01469,82.2,4.5,4.6,19.6
01473,97.5,5.5,6.0,14.1
01474,100.6,4.5,4.8,17.5
01475,101.5,6.7,6.0,17.6
01501,108.3,5.7,6.5,14.2
01503,95.0,5.3,5.1,18.9
01504,92.8,4.4,6.0,25.5
01505,96.3,6.9,6.2,14.5
01506,94.1,8.7,5.1,17.3
01507,97.6,4.6,6.5,19.3
01510,91.8,5.6,6.9,14.8
01515,98.1,6.5,6.6,13.0
01516,102.6,3.3,7.0,15.7
01518,107.9,8.1,6.8,12.1
01519,87.2,3.7,3.5,15.4
01520,93.7,8.3,5.0,13.5
01521,93.8,6.9,4.4,16.5
01522,110.1,8.4,4.8,17.6
01523,97.9,9.4,3.7,21.8
