zip_code,Estimate!!Households!!Median income (dollars),Margin of Error!!Households!!Median income (dollars),Estimate!!Families!!Median income (dollars),Margin of Error!!Families!!Median income (dollars),Estimate!!Married-couple families!!Median income (dollars),Margin of Error!!Married-couple families!!Median income (dollars),Estimate!!Nonfamily households!!Median income (dollars),Margin of Error!!Nonfamily households!!Median income (dollars)
00601,14361,1353,16001,1513,20000,2862,9419,2104
00602,16807,1241,19801,1761,26009,2330,9963,1449
00603,16049,999,18973,1275,31447,3012,10520,1005
00606,12119,2092,15298,6366,15519,6720,10272,2285
00610,19898,1756,23612,1843,30211,4667,12352,1512
00612,18741,1228,24339,1600,32012,1809,9675,670
00616,17007,2046,20805,2898,20929,9045,8708,2104
00617,16984,1847,19838,2451,27645,4470,10295,2324
00622,14615,2067,17290,8286,25781,14568,8948,2250
00623,17130,1220,20448,1950,25928,2773,11005,1724
00624,16701,867,19342,2286,26551,3400,10643,1516
00627,17000,1062,20616,1347,23402,3302,9714,842
00631,10244,2034,12188,3988,15104,7791,6447,5183
00637,17405,1559,22106,2353,27065,2878,10512,1193
00638,16843,1242,18914,1804,23864,3826,10304,1851
00641,15792,1228,19972,1786,23908,2432,8515,1135
00646,30573,2789,37357,3046,50254,4732,14975,2463
00647,14223,1574,17659,2441,19670,3812,10243,2609
00650,19764,2399,22310,2160,24449,2401,11779,2116
00652,21987,2099,24154,3882,28500,6051,14832,5337
00653,12072,1529,15234,2927,22601,5087,7037,1118
00656,17355,1443,19699,1922,25910,2272,11922,2169
00659,17715,1548,23679,3227,31025,2788,10100,1437
00660,19030,1578,23658,1444,34309,6842,12482,1699
00662,16834,1517,18840,1329,23767,2936,10847,1640
00664,14595,2884,17403,3492,22088,2550,4977,2303
00667,14013,1064,16166,2356,19390,2062,11029,2282
00669,16922,1593,19540,1671,21880,2720,8142,996
00670,14245,2726,17861,5082,23000,8751,6447,2083
00674,18299,1461,23424,1612,32967,2885,10611,878
00676,14992,1348,18630,2722,24987,3527,8975,1364
00677,19943,3043,29440,4386,37820,6443,10110,2902
00678,17144,2014,20992,1665,25754,5723,11043,2055
00680,14217,1090,20674,1493,30129,2905,8381,740
00682,14706,2004,20240,2042,29591,3799,9119,944
00683,16332,1332,21870,2395,25914,1186,10329,1247
00685,15185,1211,18690,1944,24408,2464,7106,899
00687,20941,1194,22147,1227,27121,4699,12232,2229
00688,17874,2062,20520,2172,24393,1235,9427,1529
00690,18288,7228,22042,9536,27722,3009,14976,3281
00692,20585,1700,23253,2264,26839,3219,11926,1710
00693,19576,1007,24677,1839,29611,2106,10872,1158
00694,-,**,-,**,-,**,-,**
00698,14794,984,20794,1743,23996,2987,8894,937
00703,18846,2920,21940,3084,29253,3485,11239,1140
00704,17275,2831,20742,3706,26636,2088,9851,2558
00705,20214,1734,23627,1837,30005,2181,12035,1728
00707,20760,2866,23232,2866,26922,5073,13466,5598
00714,17615,2619,19524,4182,27246,3193,11594,1662
00715,12188,2220,13750,2340,15378,2659,9794,2352
00716,17969,1892,21350,2127,31391,4611,12230,2128
00717,12121,963,16926,2833,35411,5254,9824,1233
00718,19372,2171,21011,1518,26765,2876,13237,2175
00719,18922,2347,23625,2268,26380,2914,8746,1391
00720,15295,1365,16709,2417,22407,2768,8635,1890
00723,16063,1456,19915,1929,24137,4814,9212,1515
00725,21350,1119,26273,2240,37846,3910,13276,1011
00727,31688,2144,37017,2080,48886,5132,18233,3050
00728,19340,1101,22100,1537,29892,3849,12485,1764
00729,21469,1489,26701,2177,35285,2774,12097,1251
00730,15723,1205,19328,2634,28012,3560,10222,1094
00731,15473,2681,19853,4209,30246,2863,8890,2556
00735,18395,1976,22403,3512,28635,2632,13077,2095
00736,21894,1454,25507,2115,33767,2526,11699,1041
00738,19859,1769,24045,1844,33213,4322,12832,1539
00739,20065,1300,22474,1522,30490,3127,12171,1294
00740,12944,4625,15061,3686,23125,13576,8860,2758
00741,22121,8280,25750,5831,27661,5502,12958,2431
00745,22960,1133,27260,2040,33106,2018,12419,2022
00751,18087,1793,21315,2205,27603,2537,10778,1553
00754,19403,1437,23476,1982,29153,3204,10989,923
00757,19827,2150,23965,4872,35554,3775,11961,1413
00765,14880,1963,22301,3804,29198,6829,12963,1220
00766,19682,1865,23195,2689,28723,2907,11273,1293
00767,16295,1482,20785,3082,27292,2165,10442,1767
00769,19700,1699,24221,2019,29690,2227,11761,1047
00771,21175,2120,25175,1619,29980,2560,11240,1266
