,zip_code, !!Total:, !!Total:!!Urban, !!Total:!!Rural
1,00601,17242,7899,9343
2,00602,37548,37321,227
3,00603,49804,49678,126
4,00606,5009,0,5009
5,00610,25731,21805,3926
6,00611,1671,0,1671
7,00612,62425,57085,5340
8,00616,9828,9363,465
9,00617,22541,21364,1177
10,00622,7838,6792,1046
11,00623,39320,38452,868
12,00624,21709,16737,4972
13,00627,32873,26711,6162
14,00631,1414,0,1414
15,00636,555,555,0
16,00637,23124,20107,3017
17,00638,18109,10579,7530
18,00641,24292,12990,11302
19,00646,36272,35663,609
20,00647,4611,3218,1393
21,00650,13637,9261,4376
22,00652,4020,3253,767
23,00653,9244,8631,613
24,00656,17965,13885,4080
25,00659,37421,33279,4142
26,00660,15448,15213,235
27,00662,40770,38959,1811
28,00664,15066,9987,5079
29,00667,23522,15238,8284
30,00669,27833,21837,5996
31,00670,8828,107,8721
32,00674,39345,35196,4149
33,00676,36706,33065,3641
34,00677,15379,15369,10
35,00678,25410,22668,2742
36,00680,46056,43098,2958
37,00682,28299,28010,289
38,00683,29788,24022,5766
39,00685,40294,33133,7161
40,00687,28727,25133,3594
41,00688,12443,10071,2372
42,00690,5326,5326,0
43,00692,32873,31519,1354
44,00693,56095,52701,3394
45,00694,231,231,0
46,00698,33774,28084,5690
47,00703,25332,22436,2896
48,00704,6865,6621,244
49,00705,24467,20105,4362
50,00707,10544,7060,3484
51,00714,15802,15274,528
52,00715,2299,1705,594
53,00716,28423,28009,414
54,00717,14199,14183,16
55,00718,23290,17486,5804
56,00719,30063,30063,0
57,00720,20331,12968,7363
58,00723,15983,11622,4361
59,00725,77223,76085,1138
60,00727,54207,53881,326
61,00728,36675,35892,783
62,00729,47393,45863,1530
63,00730,30521,30521,0
64,00731,12292,6152,6140
65,00735,11299,10533,766
66,00736,45833,40907,4926
67,00738,30706,28794,1912
68,00739,34964,34166,798
69,00740,1492,1482,10
70,00741,3526,3524,2
71,00745,47718,45322,2396
72,00751,19369,14099,5270
73,00754,36673,31797,4876
74,00757,20183,16581,3602
75,00765,8249,6530,1719
76,00766,22354,18163,4191
77,00767,30646,25145,5501
78,00769,34163,23885,10278
79,00771,34761,34155,606
80,00772,17936,16896,1040
81,00773,17772,16040,1732
82,00775,1792,0,1792
83,00777,37717,36970,747
84,00778,40585,39077,1508
85,00780,14934,13926,1008
86,00782,17965,14924,3041
87,00783,34093,31956,2137
88,00784,36313,30337,5976
89,00786,273,83,190
90,00791,47260,46962,298
91,00794,28791,27174,1617
92,00795,43745,39400,4345
93,00901,6218,6199,19
94,00906,165,165,0
95,00907,16864,16864,0
96,00909,6987,6987,0
97,00911,7496,7496,0
98,00912,5786,5786,0
99,00913,7261,7261,0
100,00915,25075,25075,0
101,00917,17319,17319,0
102,00918,17439,17439,0
103,00920,14798,14798,0
104,00921,32062,32062,0
105,00923,23607,23607,0
106,00924,49654,49654,0
107,00925,5501,5501,0
108,00926,96732,96732,0
109,00927,14297,14297,0
110,00934,218,218,0
111,00949,67453,66862,591
112,00950,6,0,6
113,00951,430,410,20
114,00952,8671,8619,52
115,00953,66369,65636,733
116,00956,72353,72353,0
117,00957,40540,40540,0
118,00959,43625,43625,0
119,00960,2891,2891,0
120,00961,28062,28062,0
121,00962,19741,19731,10
122,00965,6168,6168,0
123,00966,16977,16977,0
124,00968,3722,3722,0
125,00969,38838,38838,0
126,00971,28517,28517,0
127,00976,59879,59863,16
128,00979,14929,14915,14
129,00982,14182,14182,0
130,00983,31889,31889,0
131,00985,31250,31166,84
132,00987,58427,58133,294
133,01001,16984,16820,164
134,01002,27558,23432,4126
135,01003,13253,13253,0
136,01005,4900,0,4900
137,01007,15423,4323,11100
138,01008,1317,0,1317
139,01009,980,0,980
140,01010,3711,0,3711
141,01011,1201,0,1201
142,01012,519,0,519
143,01013,23656,23656,0
144,01020,29781,29781,0
145,01022,2158,2158,0
146,01026,1011,0,1011
147,01027,17896,15808,2088
148,01028,16417,16014,403
149,01029,714,0,714
150,01030,11708,10981,727
151,01031,1406,0,1406
152,01032,483,0,483
